benchmark,backend,case_label,benchmark_family,n_qubits,shots,repeats,total_shots,parameters,runtime_seconds,runtime_seconds_stddev,depth,gate_count,two_qubit_gate_count,success_probability,total_variation_distance,counts
hamiltonian_sim,cirq,hamiltonian_sim n=3,simulation,3,256,2,512,"{""n_qubits"": 3, ""time"": 0.5, ""trotter_steps"": 1}",0.006445831499604537,0.0024367840135806652,8,9,4,,,"{""000"": 441, ""001"": 20, ""010"": 24, ""100"": 26, ""110"": 1}"
hamiltonian_sim,qiskit_aer,hamiltonian_sim n=3,simulation,3,256,2,512,"{""n_qubits"": 3, ""time"": 0.5, ""trotter_steps"": 1}",0.16006811299985202,0.04207045638909122,8,9,4,,,"{""000"": 419, ""001"": 39, ""010"": 18, ""011"": 3, ""100"": 27, ""101"": 3, ""110"": 2, ""111"": 1}"
hamiltonian_sim,qutip,hamiltonian_sim n=3,simulation,3,256,2,512,"{""n_qubits"": 3, ""time"": 0.5, ""trotter_steps"": 1}",0.0007943774994600972,0.00018446789580748934,8,9,4,,,"{""000"": 412, ""001"": 34, ""010"": 30, ""011"": 4, ""100"": 28, ""110"": 4}"
hamiltonian_sim,cirq,hamiltonian_sim n=3,simulation,3,256,2,512,"{""n_qubits"": 3, ""time"": 0.5, ""trotter_steps"": 2}",0.004751338500227575,0.0003799164534195744,15,18,8,,,"{""000"": 426, ""001"": 29, ""010"": 19, ""100"": 36, ""110"": 2}"
hamiltonian_sim,qiskit_aer,hamiltonian_sim n=3,simulation,3,256,2,512,"{""n_qubits"": 3, ""time"": 0.5, ""trotter_steps"": 2}",0.1994412984995506,0.007542967542942257,15,18,8,,,"{""000"": 430, ""001"": 27, ""010"": 26, ""011"": 1, ""100"": 24, ""101"": 2, ""110"": 2}"
hamiltonian_sim,qutip,hamiltonian_sim n=3,simulation,3,256,2,512,"{""n_qubits"": 3, ""time"": 0.5, ""trotter_steps"": 2}",0.00306220550010039,0.00229861110469814,15,18,8,,,"{""000"": 424, ""001"": 28, ""010"": 28, ""100"": 28, ""101"": 2, ""110"": 2}"
hamiltonian_sim,cirq,hamiltonian_sim n=4,simulation,4,256,2,512,"{""n_qubits"": 4, ""time"": 0.5, ""trotter_steps"": 1}",0.004593264000050112,0.0003653931868053286,11,13,6,,,"{""0000"": 400, ""0001"": 18, ""0010"": 29, ""0011"": 2, ""0100"": 29, ""0101"": 1, ""1000"": 29, ""1010"": 1, ""1100"": 1, ""1101"": 2}"
hamiltonian_sim,qiskit_aer,hamiltonian_sim n=4,simulation,4,256,2,512,"{""n_qubits"": 4, ""time"": 0.5, ""trotter_steps"": 1}",0.25952850600015154,0.06820811125452744,11,13,6,,,"{""0000"": 420, ""0001"": 30, ""0010"": 11, ""0100"": 26, ""0101"": 3, ""0110"": 3, ""1000"": 15, ""1001"": 2, ""1100"": 2}"
hamiltonian_sim,qutip,hamiltonian_sim n=4,simulation,4,256,2,512,"{""n_qubits"": 4, ""time"": 0.5, ""trotter_steps"": 1}",0.0012112150002394628,0.00011049392049804449,11,13,6,,,"{""0000"": 382, ""0001"": 30, ""0010"": 34, ""0100"": 28, ""0101"": 2, ""0110"": 4, ""1000"": 28, ""1100"": 4}"
hamiltonian_sim,cirq,hamiltonian_sim n=4,simulation,4,256,2,512,"{""n_qubits"": 4, ""time"": 1.0, ""trotter_steps"": 2}",0.010826460000316729,0.0005495591476732263,18,26,12,,,"{""0000"": 308, ""0001"": 53, ""0010"": 19, ""0011"": 12, ""0100"": 12, ""0110"": 9, ""1000"": 61, ""1001"": 12, ""1010"": 2, ""1011"": 3, ""1100"": 14, ""1101"": 4, ""1110"": 2, ""1111"": 1}"
hamiltonian_sim,qiskit_aer,hamiltonian_sim n=4,simulation,4,256,2,512,"{""n_qubits"": 4, ""time"": 1.0, ""trotter_steps"": 2}",0.14709133850010403,0.016421855664388123,18,26,12,,,"{""0000"": 298, ""0001"": 55, ""0010"": 21, ""0011"": 13, ""0100"": 14, ""0101"": 1, ""0110"": 4, ""0111"": 1, ""1000"": 57, ""1001"": 16, ""1010"": 6, ""1011"": 5, ""1100"": 15, ""1101"": 5, ""1110"": 1}"
hamiltonian_sim,qutip,hamiltonian_sim n=4,simulation,4,256,2,512,"{""n_qubits"": 4, ""time"": 1.0, ""trotter_steps"": 2}",0.003346726500240038,0.001432613188171787,18,26,12,,,"{""0000"": 298, ""0001"": 62, ""0010"": 14, ""0011"": 8, ""0100"": 8, ""0101"": 4, ""0110"": 14, ""0111"": 2, ""1000"": 68, ""1001"": 10, ""1010"": 4, ""1011"": 6, ""1100"": 10, ""1110"": 2, ""1111"": 2}"
