audit,target,case,status,total_variation_distance,details,detected_format,measurements,operations,terms,tolerance
circuit_roundtrip,cirq,ghz,passed,0.0,,cirq,,3,,1e-09
circuit_roundtrip,cirq,qft,passed,0.0,,cirq,,4,,1e-09
circuit_roundtrip,cirq,bernstein-vazirani,passed,0.0,,cirq,,7,,1e-09
circuit_roundtrip,cirq,gate-coverage,passed,0.0,,cirq,,6,,1e-09
circuit_roundtrip,qiskit_aer,ghz,passed,0.0,,qiskit,,3,,1e-09
circuit_roundtrip,qiskit_aer,qft,passed,0.0,,qiskit,,7,,1e-09
circuit_roundtrip,qiskit_aer,bernstein-vazirani,passed,0.0,,qiskit,,7,,1e-09
circuit_roundtrip,qiskit_aer,gate-coverage,passed,0.0,,qiskit,,7,,1e-09
circuit_roundtrip,pennylane,ghz,passed,0.0,,pennylane,,3,,1e-09
circuit_roundtrip,pennylane,qft,passed,0.0,,pennylane,,7,,1e-09
circuit_roundtrip,pennylane,bernstein-vazirani,passed,0.0,,pennylane,,7,,1e-09
circuit_roundtrip,pennylane,gate-coverage,passed,0.0,,pennylane,,7,,1e-09
circuit_roundtrip,braket_local,ghz,passed,0.0,,braket,,3,,1e-09
circuit_roundtrip,braket_local,qft,passed,0.0,,braket,,7,,1e-09
circuit_roundtrip,braket_local,bernstein-vazirani,passed,0.0,,braket,,7,,1e-09
circuit_roundtrip,braket_local,gate-coverage,passed,0.0,,braket,,7,,1e-09
hamiltonian_roundtrip,cirq,pauli_hamiltonian,passed,,Canonical Pauli-term verification passed.,cirq,,,3,
hamiltonian_roundtrip,qiskit_aer,pauli_hamiltonian,passed,,Canonical Pauli-term verification passed.,qiskit,,,3,
hamiltonian_roundtrip,pennylane,pauli_hamiltonian,passed,,Canonical Pauli-term verification passed.,pennylane,,,3,
hamiltonian_roundtrip,braket_local,pauli_hamiltonian,passed,,Canonical Pauli-term verification passed.,braket,,,3,
workflow_roundtrip,cirq,parameterized_expectation_workflow,passed,,Canonical workflow verification passed.,cirq,3,3,,
workflow_roundtrip,qiskit_aer,parameterized_expectation_workflow,passed,,Canonical workflow verification passed.,qiskit,3,3,,
workflow_roundtrip,pennylane,parameterized_expectation_workflow,passed,,Canonical workflow verification passed.,pennylane,3,3,,
workflow_roundtrip,braket_local,parameterized_expectation_workflow,passed,,Canonical workflow verification passed.,braket,3,3,,
